City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
336,shingu,20,JP,1571094913,56,33.72,135.99,68.0,12.75
337,shimonoseki,40,JP,1571094913,68,33.97,130.94,66.99,14.99
338,svetlaya,0,RU,1571094913,47,46.54,138.33,38.1,10.5
339,kitui,42,KE,1571094913,90,-1.37,38.02,67.32,5.57
340,rock sound,0,BS,1571094913,78,24.9,-76.2,79.03,13.64
341,golden,1,US,1571094913,7,39.76,-105.22,75.2,10.29
342,agua verde,75,MX,1571094914,70,22.89,-105.97,88.0,12.75
343,arlit,0,NE,1571094914,18,18.74,7.39,86.09,7.23
344,kabare,80,RW,1571094914,91,-1.65,29.38,50.47,2.23
345,bogande,40,BF,1571094914,43,12.97,-0.14,85.71,8.35
346,iqaluit,75,CA,1571094915,85,63.75,-68.52,24.8,2.24
347,russell,1,US,1571094915,38,38.9,-98.86,79.0,14.99
348,yanam,56,IN,1571094915,93,16.73,82.22,76.17,3.9
349,entre rios,4,BR,1571094915,93,-11.94,-38.08,68.14,3.1
350,matara,4,BI,1571094915,84,-3.48,29.48,58.42,4.64
351,talnakh,100,RU,1571094916,90,69.49,88.39,28.13,3.57
352,yucaipa,1,US,1571094916,31,34.03,-117.04,84.99,8.05
353,port shepstone,32,ZA,1571094916,87,-30.74,30.45,65.01,9.35
354,chumikan,32,RU,1571094916,45,54.72,135.31,31.59,18.02
355,ugra,49,RU,1571094916,90,54.78,34.32,53.4,9.89
356,nouadhibou,100,MR,1571094916,73,20.93,-17.03,77.0,13.87
357,chirongui,3,YT,1571094917,94,-12.93,45.15,77.0,3.36
358,mackay,90,CA,1571094917,93,53.65,-115.58,37.4,5.82
359,north myrtle beach,20,US,1571094917,83,33.83,-78.68,73.99,4.7
360,aleksandrovskiy zavod,84,RU,1571094917,49,50.92,117.94,31.73,4.04
361,tiksi,97,RU,1571094917,87,71.64,128.87,14.92,6.52
362,scarborough,100,GB,1571094917,93,54.28,-0.41,52.0,13.87
363,ulladulla,31,AU,1571094918,67,-35.36,150.48,68.0,3.36
364,pacific grove,1,US,1571094918,59,36.62,-121.92,78.01,9.17
365,galdar,40,ES,1571094918,68,28.15,-15.65,71.6,12.75
366,nhulunbuy,40,AU,1571094918,65,-12.18,136.78,82.4,11.41
367,mount gambier,90,AU,1571094919,93,-37.83,140.78,55.4,8.05
368,coihaique,0,CL,1571094919,13,-45.58,-72.07,60.8,13.87
369,harper,40,US,1571094919,51,30.3,-99.24,84.2,8.05
370,kampene,100,CD,1571094919,97,-3.59,26.67,67.55,0.93
371,calvinia,0,ZA,1571094919,54,-31.47,19.78,51.93,7.15
372,inirida,99,CO,1571094920,94,3.87,-67.92,75.54,0.69
373,machachi,75,EC,1571094920,66,-0.51,-78.57,60.8,20.8
374,jacksonville,1,US,1571094920,69,30.33,-81.66,82.4,11.41
375,najran,35,SA,1571094921,32,17.54,44.22,69.8,5.78
376,alofi,75,NU,1571094921,61,-19.06,-169.92,82.4,12.75
377,itupiranga,92,BR,1571094921,74,-5.13,-49.33,84.2,4.7
378,phuntsholing,0,IN,1571094921,38,26.86,89.38,51.6,9.36
379,meulaboh,100,ID,1571094922,79,4.14,96.13,78.53,4.03
380,bubaque,57,GW,1571094922,76,11.28,-15.83,82.76,10.46
381,kropotkin,0,RU,1571094922,48,45.43,40.58,61.0,4.07
382,revelstoke,90,CA,1571094922,61,50.99,-118.19,50.0,1.2
